id,name,name_long,lat,lon
-99,Siachen Glacier,Siachen Glacier,NA,NA
KAZ,Kazakhstan,Kazakhstan,47.9022598048837,65.830006317521
KEN,Kenya,Kenya,0.584611125446988,37.6801891078916
KGZ,Kyrgyzstan,Kyrgyzstan,40.9123340227122,73.1374148080321
KHM,Cambodia,Cambodia,12.5971504536128,105.117790741139
KIR,Kiribati,Kiribati,-1.40745027406145,-29.3539215221349
KNA,St. Kitts and Nevis,Saint Kitts and Nevis,17.2542129022236,-62.6781887513013
KOR,Korea,Republic of Korea,35.7368931264373,127.339382390898
RKS,Kosovo,Kosovo,42.666667,21.166667
KWT,Kuwait,Kuwait,29.4460086640748,47.8150671508306
LAO,Lao PDR,Lao PDR,18.4368940506306,103.795890540049
LBN,Lebanon,Lebanon,33.8413971820662,35.9692493736942
LBR,Liberia,Liberia,6.99053980411581,-9.08557261191143
LBY,Libya,Libya,28.1860069192868,17.6939559554352
LCA,Saint Lucia,Saint Lucia,13.911322816181,-60.9674179986081
LIE,Liechtenstein,Liechtenstein,47.1426425273148,9.54698077288075
LKA,Sri Lanka,Sri Lanka,8.46957367643766,80.5124522785396
LSO,Lesotho,Lesotho,-29.6826595041178,28.191816005975
LTU,Lithuania,Lithuania,55.0731811655294,24.0735258784933
LUX,Luxembourg,Luxembourg,49.7555810727564,6.07050735598793
LVA,Latvia,Latvia,56.8575861114946,25.3752077713681
MAC,Macao,Macao,22.2153606245577,113.504189936101
MAF,St-Martin,Saint-Martin,18.0902160629098,-63.0511641358888
MAR,Morocco,Morocco,28.4783301061713,-9.02545507149684
MCO,Monaco,Monaco,43.7547105517068,7.41144194767327
MDA,Moldova,Moldova,47.0632459947486,28.5453257816066
MDG,Madagascar,Madagascar,-17.7339853539463,46.9889935716446
MDV,Maldives,Maldives,3.81258186806038,73.4665335814477
MEX,Mexico,Mexico,24.2114085659755,-103.598046850685
MHL,Marshall Is.,Marshall Islands,7.43665032240593,169.926017912973
MKD,Macedonia,Macedonia,41.6361810842525,21.6497989226883
