id,name,division,lon,lat
231,Huéscar,Andalucía,-2.586663,37.89209
232,Orce,Andalucía,-2.398235,37.71912
233,Puebla de Don Fadrique,Andalucía,-2.402196,37.92869
234,Algarinejo,Andalucía,-4.190375,37.29992
235,Illora,Andalucía,-3.89787,37.28263
236,Moclín,Andalucía,-3.794184,37.35642
237,Montefrío,Andalucía,-4.031667,37.33219
238,Baza,Andalucía,-2.773308,37.41431
239,Benamaurel,Andalucía,-2.697907,37.62889
240,Caniles,Andalucía,-2.681406,37.41599
241,Cúllar,Andalucía,-2.519742,37.56798
242,Cortes de Baza,Andalucía,-2.818164,37.68908
243,Cuevas del Campo,Andalucía,-2.913008,37.61295
244,Freila,Andalucía,-2.912149,37.51261
245,Zújar,Andalucía,-2.847023,37.57221
246,Albuñán,Andalucía,-3.140249,37.23292
247,Aldeire,Andalucía,-3.076832,37.15943
248,Alicún de Ortega,Andalucía,-3.161069,37.60874
249,Alquife,Andalucía,-3.10994,37.18639
250,Beas de Guadix,Andalucía,-3.213168,37.27627
251,Benalúa,Andalucía,-3.166586,37.35783
252,Cogollos de Guadix,Andalucía,-3.176536,37.23053
253,Cortes y Graena,Andalucía,-3.235209,37.30221
254,Dólar,Andalucía,-2.95545,37.21332
255,Darro,Andalucía,-3.284794,37.36518
256,Dehesas de Guadix,Andalucía,-3.062059,37.58912
257,Diezma,Andalucía,-3.351981,37.32461
258,Ferreira,Andalucía,-3.025216,37.17872
259,Fonelas,Andalucía,-3.167766,37.42228
260,Freila,Andalucía,-2.981974,37.56094
261,Gorafe,Andalucía,-3.03598,37.51984
262,Gor,Andalucía,-2.951027,37.37421
263,Guadix,Andalucía,-3.080793,37.38927
264,Huélago,Andalucía,-3.264824,37.4161
265,Huéneja,Andalucía,-2.935598,37.18801
266,Jerez del Marquesado,Andalucía,-3.195072,37.15261
267,La Calahorra,Andalucía,-3.042519,37.22479
268,La Peza,Andalucía,-3.311293,37.27849
269,Lanteira,Andalucía,-3.138192,37.1474
270,Lugros,Andalucía,-3.248837,37.20441
271,Marchal,Andalucía,-3.196582,37.29875
272,Polícar,Andalucía,-3.240567,37.24878
273,Purullena,Andalucía,-3.199428,37.34004
274,Valle del Zalabí,Andalucía,-3.000071,37.28467
275,Villanueva de las Torres,Andalucía,-3.111617,37.53056
276,Albolote,Andalucía,-3.658907,37.30494
277,Alfacar,Andalucía,-3.555121,37.24734
278,Alhendín,Andalucía,-3.700801,37.06639
279,Armilla,Andalucía,-3.619004,37.14793
280,Atarfe,Andalucía,-3.705062,37.25673
281,Beas de Granada,Andalucía,-3.464577,37.23686
282,Cájar,Andalucía,-3.570641,37.13204
283,Calicasas,Andalucía,-3.627795,37.28002
284,Cúllar Vega,Andalucía,-3.678068,37.15865
285,Cenes de la Vega,Andalucía,-3.537192,37.15539
286,Chauchina,Andalucía,-3.787057,37.17811
287,Churriana de la Vega,Andalucía,-3.642122,37.14954
288,Cijuela,Andalucía,-3.825891,37.17004
289,Cogollos de la Vega,Andalucía,-3.558729,37.2981
290,Dílar,Andalucía,-3.518479,37.06211
291,Dúdar,Andalucía,-3.490047,37.18605
292,Fuente Vaqueros,Andalucía,-3.78537,37.21888
293,Güejar Sierra,Andalucía,-3.357322,37.14502
294,Güevéjar,Andalucía,-3.601374,37.25728
295,Gójar,Andalucía,-3.589774,37.09415
296,Granada,Andalucía,-3.5911,37.18563
297,Huétor de Santillán,Andalucía,-3.453955,37.29148
298,Huétor Tájar,Andalucía,-4.046902,37.19688
299,Huétor Vega,Andalucía,-3.566205,37.14821
300,Jun,Andalucía,-3.588438,37.21641
301,La Zubia,Andalucía,-3.571479,37.11017
302,Láchar,Andalucía,-3.844007,37.18529
303,Las Gabias,Andalucía,-3.696566,37.13277
304,Loja,Andalucía,-4.185419,37.155
305,Maracena,Andalucía,-3.639969,37.21071
306,Monachil,Andalucía,-3.475,37.10515
307,Moraleda de Zafayona,Andalucía,-3.950521,37.18082
308,Nívar,Andalucía,-3.555445,37.26549
309,Ogíjares,Andalucía,-3.616351,37.12348
310,Otura,Andalucía,-3.651776,37.07406
311,Peligros,Andalucía,-3.63006,37.24164
312,Pinos Genil,Andalucía,-3.504177,37.15946
313,Pinos Puente,Andalucía,-3.809916,37.2384
314,Pulianas,Andalucía,-3.609545,37.22604
315,Quéntar,Andalucía,-3.415292,37.23081
316,Salar,Andalucía,-4.038549,37.13796
317,Santa Fe,Andalucía,-3.740194,37.18274
318,Víznar,Andalucía,-3.538449,37.23648
319,Vegas del Genil,Andalucía,-3.693422,37.16981
320,Villanueva Mesía,Andalucía,-4.006539,37.22959
321,Zagra,Andalucía,-4.172487,37.25176
322,Agrón,Andalucía,-3.820358,37.01364
323,Alhama de Granada,Andalucía,-4.002732,36.99491
324,Arenas del Rey,Andalucía,-3.874994,36.94902
325,Cacín,Andalucía,-3.914514,37.07598
326,Chimeneas,Andalucía,-3.844375,37.12206
327,Escúzar,Andalucía,-3.776309,37.05118
328,Jayena,Andalucía,-3.792636,36.93968
329,La Malahá,Andalucía,-3.735743,37.10023
330,Santa Cruz del Comercio,Andalucía,-3.974454,37.06434
331,Ventas de Huelma,Andalucía,-3.834357,37.06864
332,Zafarraya,Andalucía,-4.161169,36.99319
333,Albuñuelas,Andalucía,-3.68795,36.92799
334,Dúrcal,Andalucía,-3.513134,37.02222
335,El Pinar,Andalucía,-3.542089,36.89487
336,El Valle,Andalucía,-3.594955,36.92856
337,Lecrín,Andalucía,-3.527228,36.95097
338,Nigüelas,Andalucía,-3.502534,36.99173
339,Padul,Andalucía,-3.669863,37.0141
340,Villamena,Andalucía,-3.604952,36.97601
341,Albondón,Andalucía,-3.207145,36.84288
342,Albuñol,Andalucía,-3.187614,36.78051
343,Almuñécar,Andalucía,-3.724638,36.76871
344,Gualchos,Andalucía,-3.391467,36.73782
345,Itrabo,Andalucía,-3.639087,36.78929
346,Jete,Andalucía,-3.664551,36.79656
347,Lújar,Andalucía,-3.384056,36.78198
348,Lentegí,Andalucía,-3.687439,36.84406
349,Los Guajares,Andalucía,-3.603196,36.85199
350,Molvízar,Andalucía,-3.601781,36.79203
351,Motril,Andalucía,-3.483679,36.74299
352,Otívar,Andalucía,-3.744704,36.83806
353,Polopos,Andalucía,-3.301065,36.77703
354,Rubite,Andalucía,-3.338621,36.78228
355,Salobreña,Andalucía,-3.583258,36.76216
356,Sorvilán,Andalucía,-3.262438,36.79023
357,Vélez de Benaudalla,Andalucía,-3.489696,36.82049
358,Órgiva,Andalucía,-3.398359,36.86505
359,Almegíjar,Andalucía,-3.284408,36.90249
360,Alpujarra de la Sierra,Andalucía,-3.142368,37.01931
361,Bérchules,Andalucía,-3.196367,37.02558
362,Bubión,Andalucía,-3.371259,36.98906
363,Busquístar,Andalucía,-3.278753,36.95789
364,Cáñar,Andalucía,-3.425167,36.96008
365,Cádiar,Andalucía,-3.165639,36.92796
366,Cástaras,Andalucía,-3.240847,36.9153
367,Capileira,Andalucía,-3.344116,37.01327
368,Carataunas,Andalucía,-3.394134,36.91861
369,Juviles,Andalucía,-3.230564,36.96361
370,La Taha,Andalucía,-3.335366,36.92522
371,Lanjarón,Andalucía,-3.464206,36.95016
372,Lobras,Andalucía,-3.210283,36.91117
373,Murtas,Andalucía,-3.130311,36.86699
374,Nevada,Andalucía,-3.036882,37.03995
375,Pórtugos,Andalucía,-3.305898,36.9721
376,Pampaneira,Andalucía,-3.379179,36.96347
377,Soportújar,Andalucía,-3.399172,36.9564
378,Torvizcón,Andalucía,-3.281779,36.85384
379,Trevélez,Andalucía,-3.259691,37.04996
380,Turón,Andalucía,-3.083313,36.84467
381,Ugíjar,Andalucía,-3.067667,36.94765
382,Válor,Andalucía,-3.094227,37.02579
383,Alamedilla,Andalucía,-3.242445,37.58821
384,Benalúa de las Villas,Andalucía,-3.670632,37.44301
385,Campotéjar,Andalucía,-3.599233,37.50565
386,Colomera,Andalucía,-3.712729,37.38561
387,Dehesas de Guadix,Andalucía,-3.215128,37.63758
388,Deifontes,Andalucía,-3.594496,37.34535
389,Gobernador,Andalucía,-3.303553,37.4776
390,Guadahortuna,Andalucía,-3.393232,37.52978
391,Iznalloz,Andalucía,-3.530918,37.42018
392,Montejícar,Andalucía,-3.509095,37.56022
393,Montillana,Andalucía,-3.721738,37.4711
394,Morelábor,Andalucía,-3.312225,37.43577
395,Píñar,Andalucía,-3.404858,37.43075
396,Pedro Martínez,Andalucía,-3.220349,37.51356
397,Torre-Cardela,Andalucía,-3.358774,37.49855
398,Alájar,Andalucía,-6.65556,37.84947
399,Almonaster la Real,Andalucía,-6.782769,37.80029
400,Aracena,Andalucía,-6.557004,37.87201
401,Aroche,Andalucía,-6.989551,37.94781
402,Arroyomolinos de León,Andalucía,-6.417877,38.00782
403,Cañaveral de León,Andalucía,-6.500483,37.99398
404,Cala,Andalucía,-6.332303,37.95962
405,Castaño del Robledo,Andalucía,-6.686966,37.88792
406,Corteconcepción,Andalucía,-6.493747,37.93308
407,Cortegana,Andalucía,-6.917843,37.85507
408,Cortelazor,Andalucía,-6.624784,37.95889
409,Cumbres de Enmedio,Andalucía,-6.696472,38.07531
410,Cumbres de San Bartolomé,Andalucía,-6.798062,38.05819
411,Cumbres Mayores,Andalucía,-6.659634,38.03335
412,Encinasola,Andalucía,-6.89667,38.12803
413,Fuenteheridos,Andalucía,-6.660303,37.90795
414,Galaroza,Andalucía,-6.691715,37.92744
415,Higuera de la Sierra,Andalucía,-6.444336,37.83349
416,Hinojales,Andalucía,-6.57201,38.00127
417,Jabugo,Andalucía,-6.749771,37.91246
418,La Nava,Andalucía,-6.75833,37.97425
419,Linares de la Sierra,Andalucía,-6.606704,37.85448
420,Los Marines,Andalucía,-6.621717,37.90221
421,Puerto Moral,Andalucía,-6.465786,37.89215
422,Rosal de la Frontera,Andalucía,-7.188728,37.92484
423,Santa Ana la Real,Andalucía,-6.719984,37.85401
424,Santa Olalla del Cala,Andalucía,-6.219033,37.87941
425,Valdelarco,Andalucía,-6.671262,37.95174
426,Zufre,Andalucía,-6.360602,37.8231
427,Alosno,Andalucía,-7.093373,37.56259
428,Ayamonte,Andalucía,-7.384744,37.26991
429,Cabezas Rubias,Andalucía,-7.106934,37.76677
430,El Almendro,Andalucía,-7.341039,37.5511
431,El Cerro de Andévalo,Andalucía,-7.014748,37.70822
432,El Granado,Andalucía,-7.429312,37.51822
433,Paymogo,Andalucía,-7.316467,37.74677
434,Puebla de Guzmán,Andalucía,-7.301934,37.63551
435,San Bartolomé de la Torre,Andalucía,-7.098692,37.43318
436,San Silvestre de Guzmán,Andalucía,-7.378705,37.38533
437,Sanlúcar de Guadiana,Andalucía,-7.403296,37.44885
438,Santa Bárbara de Casa,Andalucía,-7.203366,37.7964
439,Villablanca,Andalucía,-7.330577,37.30764
440,Villanueva de las Cruces,Andalucía,-7.014033,37.61879
441,Villanueva de los Castillejos,Andalucía,-7.207764,37.4552
442,Berrocal,Andalucía,-6.508643,37.56617
443,Calañas,Andalucía,-6.911759,37.61572
444,Campofrío,Andalucía,-6.582502,37.77041
445,El Campillo,Andalucía,-6.648846,37.70574
446,La Granada de Río-Tinto,Andalucía,-6.50873,37.77202
447,Minas de Riotinto,Andalucía,-6.583617,37.70021
448,Nerva,Andalucía,-6.52897,37.70502
449,Valverde del Camino,Andalucía,-6.739693,37.55913
450,Zalamea la Real,Andalucía,-6.675559,37.63702
451,Aljaraque,Andalucía,-7.020166,37.28152
452,Cartaya,Andalucía,-7.154945,37.3148
453,Gibraleón,Andalucía,-6.994319,37.39627
454,Isla Cristina,Andalucía,-7.285775,37.22723
455,Lepe,Andalucía,-7.22682,37.28208
456,Moguer,Andalucía,-6.926781,37.28801
457,Punta Umbría,Andalucía,-7.006036,37.21196
458,Almonte,Andalucía,-6.533721,37.10143
459,Hinojos,Andalucía,-6.40095,37.16809
460,Huelva,Andalucía,-6.861581,37.28321
461,Lucena del Puerto,Andalucía,-6.736508,37.25125
462,Moguer,Andalucía,-6.82371,37.2057
463,Beas,Andalucía,-6.809848,37.46206
464,Bollullos Par del Condado,Andalucía,-6.535585,37.33026
465,Bonares,Andalucía,-6.689075,37.27773
466,Chucena,Andalucía,-6.394475,37.35516
467,Escacena del Campo,Andalucía,-6.390569,37.49973
